Reg No,Job role that you are interested in,Min salary,Max salary,Median salary,highest paying company,Contribution in Ex-curricular,Tech competence,Package exp,CIA of last sem,GPA of last sem,max attendance till last sem,Intern Interest
97,Data Scientist,"5,00,000","8,00,000","6,50,000",EY,5,2,"8,00.,00",85%,76%,95%,Industry
98,Data Engineer,"2,00,000","25,00,000","10,00,000",DE Shaw,4,5,"15,00,000",80,79,98,Industry
99,Software Engineer,"3,00,000","30,00,000","11,00,000",Deolite,5,4,"20,00,000",80,50,73,None
100,Business Analyst,"10,00,000","35,00,000","20,00,000",Capgemini,3,4,"30,00,000",58,67,68,Research
101,Data Engineer,"1,00,000","4,00,000","2,00,000",EY,1,1,"3,00,000",78,78,78,None
102,Software Engineer,60000,400000,230000,Deolite,5,4,5LPA,90%,79%,96%,Research
103,Business Analyst,15000,500000,257500,Deolite,4,3,6LPA,60%,74%,90%,Research
104,Business Analyst,2LPA,9LPA,5.5 LPA,EY,5,4,6LPA,78%,80%,94%,None
105,Data Scientist,35000,100000,65700,DE Shaw,5,4,5LPA,70%,77%,95%,Industry
106,Data Scientist,4 LPA,8LPA,6 LPA,Deolite,4,4,5 LPA ,76%,78%,98%,Industry
107,Data Scientist,19,29,24,Deolite,5,1,26,96,80,99,Industry
108,,3 LPA,,,Deolite,2,3,3 LPA,,63%,89.29%,None
109,Data Scientist,5,30,9,DE Shaw,3,3,10,88.75,81.23,99.49,Research
110,Business Analyst,3,28,9.5,DE Shaw,4,3,9,89,85.67,88.6,Industry
111,Data Scientist,2,25,9,DE Shaw,3,2,8,86.25,83.33,97.5,None
112,Data Engineer,2,26,7,DE Shaw,3,3,9,84,82.6,86.7,None
113,Software Engineer,2,28,7,DE Shaw,3,3,7,87,81,94.2,Research
114,Data Engineer,5,30,20,Deolite,4,3,20,78,80,92,Industry
115,Data Scientist,6,22,10,DE Shaw,4,3,30,80,78,90,Industry
116,Data Scientist,7,24,13,DE Shaw,4,3,16,80,78,88,Research
117,Software Engineer,9,28,,Capgemini,2,5,30,89,80,98,Research
118,Business Analyst,8,26,15,Deolite,3,4,20,80,76,89,Industry
119,Data Scientist,14,32,17.5,DE Shaw,5,4,Nothing much,86,92,99.72,Research
120,Data Engineer,1,25,3.9,EY,2,3,"I expect high severance package, and atleast 100 vacation days per year",78,85,94.54,None
121,Software Engineer,8,21,19,Capgemini,4,1,"Job security for 2 years, health insurance, access to international offices",79,78,86,Industry
122,Data Scientist,20,60,40,Capgemini,2,3,40,70,75,89,None
123,Data Scientist,4,10,6,DE Shaw,4,3,10,60,80,100,Industry
124,Data Engineer,3,11,5,Capgemini,4,3,9,70,81,98,Research
125,Software Engineer,6,12,7,EY,3,4,6,58,75,98,None
126,Business Analyst,5,8,7,Deolite,3,4,6,89,85,97,Industry
127,Data Scientist,5,10,6,Capgemini,5,4,9,75,82,100,Industry
128,Data Scientist,4,18,7.4,DE Shaw,3,4,10,,77.23,90.91,Industry
129,Software Engineer,9,20,6,EY,3,3,8,76,75,89,Industry
130,Business Analyst,7,18,7,Deolite,1,4,7,80,86,86,Industry
131,Data Engineer,6,15,10,Capgemini,5,5,8,85,79,98,Research
132,Software Engineer,5,12,8,EY,2,3,9,89,90,95.71,Research
133,Data Engineer,4,10,4,DE Shaw,4,4,6,65,65,86,Industry
134,Data Engineer,5,12,5,DE Shaw,4,3,3.5,77,59,79,None
135,Data Scientist,12,24,17,EY,3,4,20,59,69,89,Industry
136,Software Engineer,2,7,4,EY,4,4,9,66,77,99,Industry
137,Business Analyst,3,8,5,Capgemini,4,5,10,60,65,99,Industry
138,Data Scientist,5,25,10,DE Shaw,2,2,10,85,73.54,94,None
139,Software Engineer,6,40,20,DE Shaw,2,2,10,83,75,90,None
140,Data Scientist,5,36,18,DE Shaw,2,2,10,87,75,95,None
141,Data Scientist,5,35,9,DE Shaw,2,2,10,86,76,89,None
142,Data Scientist,7,77,12,DE Shaw,3,3,14,83,77,93,None
